university,type,field_category,programme,total_fee
Taylor's,Private,Business,"Bachelor Of Culinary Management (Hons) (3+0) with University of Toulouse-Jean Jaurès, FRA",119250.0
Taylor's,Private,Business,Bachelor of International Event Management (Honours),119250.0
Taylor's,Private,Arts & Humanities,"Bachelor Of International Hospitality Management (Hons) (3+0) with University of Toulouse-Jean Jaurès, FRA",119250.0
Taylor's,Private,Business,"Bachelor Of International Tourism Management (Hons) (3+0) with University of Toulouse-Jean Jaurès, FRA",119250.0
Taylor's,Private,Arts & Humanities,Bachelor Of Mass Communication (Hons) in Public Relations & Event Management,120650.0
Taylor's,Private,Arts & Humanities,Bachelor of Patisserie Arts (Hons),112875.0
Taylor's,Private,Science,Bachelor Of Science (Hons) Culinology,125860.0
Taylor's,Private,Law,Bachelor Of Laws (LL.B),131990.0
Taylor's,Private,Medicine & Health,Bachelor of Applied Health Sciences (Honours),132970.0
Taylor's,Private,Medicine & Health,Bachelor Of Biomedical Science (Hons),138530.0
Taylor's,Private,Medicine & Health,"Bachelor Of Medicine, Bachelor Of Surgery (MBBS)",446690.0
Taylor's,Private,Medicine & Health,Bachelor Of Pharmacy (Hons),196770.0
Taylor's,Private,Medicine & Health,Bachelor of Pharmaceutical Science (Honours),116225.0
Taylor's,Private,Science,Bachelor In Biotechnology (Hons),121730.0
Taylor's,Private,Computer Science & IT,"Bachelor Of Information Technology (Hons) (3+0) withUniversity of the West of England, UK",121730.0
Taylor's,Private,Science,Bachelor Of Science (Hons) (Food Science),121730.0
Taylor's,Private,Social Sciences,Bachelor Of Psychology (Hons),110390.0
Taylor's,Private,Social Sciences,Bachelor of Social Science (Honours) in International Relations,107690.0
